artifact;repo
org.apache.servicemix.bundles:org.apache.servicemix.bundles.derbynet;https://github.com/apache/servicemix-bundles
org.apache.servicemix.bundles:org.apache.servicemix.bundles.dom4j;https://github.com/apache/servicemix-bundles
org.apache.servicemix.bundles:org.apache.servicemix.bundles.jasypt;https://github.com/apache/servicemix-bundles
org.apache.beam:beam-runners-spark;https://github.com/apache/beam
org.apache.cxf:cxf-rt-rs-security-oauth;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-rs-security-oauth2;https://github.com/apache/cxf
org.apache.cxf:cxf-rt-rs-security-oauth2-saml;https://github.com/apache/cxf
org.apache.johnzon:johnzon-jsonschema;https://github.com/apache/johnzon
org.apache.zookeeper:zookeeper-jute;https://github.com/apache/zookeeper
org.apache.accumulo:accumulo-fate;https://github.com/apache/accumulo
org.apache.accumulo:accumulo-trace;https://github.com/apache/accumulo
org.apache.jena:jena-shaded-guava;https://github.com/apache/jena
org.apache.lucene:lucene-benchmark;https://github.com/apache/lucene
org.apache.bval:bval-extras;https://github.com/apache/bval
org.apache.karaf.features:org.apache.karaf.features.command;https://github.com/apache/karaf
org.apache.phoenix:phoenix-queryserver-client;https://github.com/apache/phoenix-queryserver
org.apache.servicemix.bundles:org.apache.servicemix.bundles.saaj-impl;https://github.com/apache/servicemix-bundles
org.apache.karaf.jaas:org.apache.karaf.jaas.modules;https://github.com/apache/karaf
org.apache.tamaya.ext:tamaya-injection;https://github.com/apache/incubator-tamaya-extensions
org.apache.cxf:cxf-rt-rs-security-jose;https://github.com/apache/cxf
org.apache.jclouds:jclouds-all;https://github.com/apache/jclouds
org.apache.felix:org.apache.felix.resolver;https://github.com/apache/felix-dev
org.apache.jclouds.provider:aws-sts;https://github.com/apache/jclouds
org.apache.commons:commons-fileupload2-jakarta-servlet6;https://github.com/apache/commons-fileupload
org.apache.ws.commons.axiom:axiom-compat;https://github.com/apache/ws-axiom
org.apache.jena:jena-base;https://github.com/apache/jena
org.apache.accumulo:accumulo-start;https://github.com/apache/accumulo
org.apache.camel.springboot:camel-spring-boot;https://github.com/apache/camel-spring-boot
org.apache.camel.springboot:camel-spring-boot-starter;https://github.com/apache/camel-spring-boot
org.apache.jena:jena-iri;https://github.com/apache/jena
org.apache.camel.springboot:camel-bean-starter;https://github.com/apache/camel-spring-boot
org.apache.camel.springboot:camel-direct-starter;https://github.com/apache/camel-spring-boot
org.apache.camel.springboot:camel-jackson-starter;https://github.com/apache/camel-spring-boot
org.apache.camel.springboot:camel-rabbitmq-starter;https://github.com/apache/camel-spring-boot
org.apache.karaf.bundle:org.apache.karaf.bundle.core;https://github.com/apache/karaf
org.apache.karaf.features:framework;https://github.com/apache/karaf
org.apache.karaf.shell:org.apache.karaf.shell.commands;https://github.com/apache/karaf
org.apache.karaf:apache-karaf;https://github.com/apache/karaf
org.apache.karaf.features:enterprise;https://github.com/apache/karaf
org.apache.karaf.features:spring;https://github.com/apache/karaf
org.apache.karaf.shell:org.apache.karaf.shell.table;https://github.com/apache/karaf
org.apache.karaf:org.apache.karaf.main;https://github.com/apache/karaf
org.apache.servicemix.bundles:org.apache.servicemix.bundles.elasticsearch;https://github.com/apache/servicemix-bundles
org.apache.karaf.jaas:org.apache.karaf.jaas.boot;https://github.com/apache/karaf
org.apache.karaf.jaas:org.apache.karaf.jaas.config;https://github.com/apache/karaf
org.apache.karaf.shell:org.apache.karaf.shell.ssh;https://github.com/apache/karaf
org.apache.jena:jena-text;https://github.com/apache/jena
org.apache.camel:camel-scala;https://github.com/apache/camel
org.apache.ant:ant-jsch;https://github.com/apache/ant
org.apache.servicemix.bundles:org.apache.servicemix.bundles.jdom;https://github.com/apache/servicemix-bundles
org.apache.servicemix.bundles:org.apache.servicemix.bundles.junit;https://github.com/apache/servicemix-bundles
org.apache.servicemix.bundles:org.apache.servicemix.bundles.xerces;https://github.com/apache/servicemix-bundles
org.apache.servicemix.bundles:org.apache.servicemix.bundles.xmlresolver;https://github.com/apache/servicemix-bundles
