artifact,done
org.quiltmc.quilted-fabric-api:fabric-api-lookup-api-v1,true
org.quiltmc.quilted-fabric-api:fabric-biome-api-v1,true
org.quiltmc.quilted-fabric-api:fabric-blockrenderlayer-v1,true
org.quiltmc.quilted-fabric-api:fabric-command-api-v1,true
org.quiltmc.quilted-fabric-api:fabric-commands-v0,true
org.quiltmc.quilted-fabric-api:fabric-containers-v0,true
org.quiltmc.quilted-fabric-api:fabric-content-registries-v0,true
org.quiltmc.quilted-fabric-api:fabric-convention-tags-v1,true
org.quiltmc.quilted-fabric-api:fabric-crash-report-info-v1,true
org.quiltmc.quilted-fabric-api:fabric-data-generation-api-v1,true
org.quiltmc.quilted-fabric-api:fabric-dimensions-v1,true
org.quiltmc.quilted-fabric-api:fabric-entity-events-v1,true
org.quiltmc.quilted-fabric-api:fabric-events-interaction-v0,true
org.quiltmc.quilted-fabric-api:fabric-events-lifecycle-v0,true
org.quiltmc.quilted-fabric-api:fabric-game-rule-api-v1,true
org.quiltmc.quilted-fabric-api:fabric-gametest-api-v1,true
org.quiltmc.quilted-fabric-api:fabric-item-api-v1,true
